Time,Close Price,Difference,Return
2014-04-30,"1,883.9500",5.6200,0.2992
2014-05-01,"1,883.6800",-0.2699,-0.0143
2014-05-02,"1,881.1400",-2.5400,-0.1348
2014-05-05,"1,884.6600",3.5200,0.1871
2014-05-06,"1,867.7200",-16.9401,-0.8988
2014-05-07,"1,878.2100",10.4900,0.5616
2014-05-08,"1,875.6300",-2.5800,-0.1374
2014-05-09,"1,878.4800",2.8500,0.1519
2014-05-12,"1,896.6500",18.1700,0.9673
2014-05-13,"1,897.4500",0.7999,0.0422
2014-05-14,"1,888.5300",-8.9199,-0.4701
2014-05-15,"1,870.8500",-17.6801,-0.9362
2014-05-16,"1,877.8600",7.0100,0.3747
2014-05-19,"1,885.0800",7.2200,0.3845
2014-05-20,"1,872.8300",-12.2500,-0.6498
2014-05-21,"1,888.0300",15.2001,0.8116
2014-05-22,"1,892.4900",4.4600,0.2362
2014-05-23,"1,900.5300",8.0400,0.4248
2014-05-27,"1,920.0300",19.5000,1.0260
2014-05-28,"1,909.7800",-10.2500,-0.5338
2014-05-29,"1,920.0300",10.2500,0.5367
2014-05-30,"1,923.5700",3.5399,0.1844
2014-06-02,"1,924.9700",1.4000,0.0728
2014-06-03,"1,924.2400",-0.7300,-0.0379
2014-06-04,"1,927.8800",3.6400,0.1892
2014-06-05,"1,940.4600",12.5800,0.6525
2014-06-06,"1,949.4400",8.9800,0.4628
2014-06-09,"1,951.2700",1.8301,0.0939
2014-06-10,"1,950.7900",-0.4800,-0.0246
2014-06-11,"1,943.8900",-6.9000,-0.3537
2014-06-12,"1,930.1100",-13.7800,-0.7089
2014-06-13,"1,936.1600",6.0500,0.3135
2014-06-16,"1,937.7800",1.6200,0.0837
2014-06-17,"1,941.9900",4.2100,0.2173
2014-06-18,"1,956.9800",14.9900,0.7719
2014-06-19,"1,959.4800",2.5000,0.1277
2014-06-20,"1,962.8700",3.3900,0.1730
2014-06-23,"1,962.6100",-0.2600,-0.0132
2014-06-24,"1,949.9800",-12.6300,-0.6435
2014-06-25,"1,959.5300",9.5500,0.4897
2014-06-26,"1,957.2200",-2.3101,-0.1179
2014-06-27,"1,960.9600",3.7400,0.1911
2014-06-30,"1,960.2300",-0.7300,-0.0372
2014-07-01,"1,973.3200",13.0900,0.6678
2014-07-02,"1,974.6200",1.3000,0.0659
2014-07-03,"1,985.4400",10.8199,0.5479
2014-07-07,"1,977.6500",-7.7899,-0.3924
2014-07-08,"1,963.7100",-13.9401,-0.7049
2014-07-09,"1,972.8300",9.1200,0.4644
2014-07-10,"1,964.6800",-8.1499,-0.4131
2014-07-11,"1,967.5700",2.8899,0.1471
2014-07-14,"1,977.1000",9.5300,0.4844
2014-07-15,"1,973.2800",-3.8199,-0.1932
2014-07-16,"1,981.5700",8.2899,0.4201
2014-07-17,"1,958.1200",-23.4500,-1.1834
2014-07-18,"1,978.2200",20.1000,1.0265
2014-07-21,"1,973.6300",-4.5900,-0.2320
2014-07-22,"1,983.5300",9.9000,0.5016
2014-07-23,"1,987.0100",3.4800,0.1754
2014-07-24,"1,987.9800",0.9700,0.0488
2014-07-25,"1,978.3400",-9.6400,-0.4849
2014-07-28,"1,978.9100",0.5701,0.0288
2014-07-29,"1,969.9500",-8.9601,-0.4528
2014-07-30,"1,970.0700",0.1200,0.0061
2014-07-31,"1,930.6700",-39.3999,-1.9999
2014-08-01,"1,925.1500",-5.5200,-0.2859
2014-08-04,"1,938.9900",13.8400,0.7189
2014-08-05,"1,920.2100",-18.7800,-0.9685
2014-08-06,"1,920.2400",0.0300,0.0016
2014-08-07,"1,909.5700",-10.6700,-0.5557
2014-08-08,"1,931.5900",22.0200,1.1531
2014-08-11,"1,936.9200",5.3301,0.2759
2014-08-12,"1,933.7500",-3.1700,-0.1637
2014-08-13,"1,946.7200",12.9700,0.6707
2014-08-14,"1,955.1800",8.4601,0.4346
2014-08-15,"1,955.0600",-0.1200,-0.0061
2014-08-18,"1,971.7400",16.6799,0.8532
2014-08-19,"1,981.6000",9.8600,0.5001
2014-08-20,"1,986.5100",4.9100,0.2478
2014-08-21,"1,992.3700",5.8600,0.2950
2014-08-22,"1,988.4000",-3.9700,-0.1993
2014-08-25,"1,997.9200",9.5200,0.4788
2014-08-26,"2,000.0200",2.1000,0.1051
2014-08-27,"2,000.1200",0.1000,0.0050
2014-08-28,"1,996.7400",-3.3800,-0.1690
2014-08-29,"2,003.3700",6.6300,0.3320
2014-09-02,"2,002.2800",-1.0900,-0.0544
2014-09-03,"2,000.7200",-1.5601,-0.0779
2014-09-04,"1,997.6500",-3.0699,-0.1534
2014-09-05,"2,007.7100",10.0599,0.5036
2014-09-08,"2,001.5400",-6.1699,-0.3073
2014-09-09,"1,988.4400",-13.1001,-0.6545
2014-09-10,"1,995.6900",7.2500,0.3646
2014-09-11,"1,997.4500",1.7600,0.0882
2014-09-12,"1,985.5400",-11.9099,-0.5963
2014-09-15,"1,984.1300",-1.4100,-0.0710
2014-09-16,"1,998.9800",14.8500,0.7484
2014-09-17,"2,001.5700",2.5900,0.1296
2014-09-18,"2,011.3600",9.7900,0.4891
2014-09-19,"2,010.4000",-0.9600,-0.0477
2014-09-22,"1,994.2900",-16.1100,-0.8013
2014-09-23,"1,982.7700",-11.5200,-0.5776
2014-09-24,"1,998.3000",15.5300,0.7832
2014-09-25,"1,965.9900",-32.3101,-1.6169
2014-09-26,"1,982.8500",16.8600,0.8576
2014-09-29,"1,977.8000",-5.0499,-0.2547
2014-09-30,"1,972.2900",-5.5100,-0.2786
2014-10-01,"1,946.1600",-26.1300,-1.3249
2014-10-02,"1,946.1700",0.0100,0.0005
2014-10-03,"1,967.9000",21.7300,1.1166
2014-10-06,"1,964.8200",-3.0801,-0.1565
2014-10-07,"1,935.1000",-29.7200,-1.5126
2014-10-08,"1,968.8900",33.7900,1.7462
2014-10-09,"1,928.2100",-40.6801,-2.0661
2014-10-10,"1,906.1300",-22.0800,-1.1451
2014-10-13,"1,874.7400",-31.3900,-1.6468
2014-10-14,"1,877.7000",2.9600,0.1579
2014-10-15,"1,862.4900",-15.2100,-0.8100
2014-10-16,"1,862.7600",0.2700,0.0145
2014-10-17,"1,886.7600",24.0000,1.2884
2014-10-20,"1,904.0100",17.2500,0.9143
2014-10-21,"1,941.2800",37.2700,1.9574
2014-10-22,"1,927.1100",-14.1700,-0.7299
2014-10-23,"1,950.8200",23.7100,1.2303
2014-10-24,"1,964.5800",13.7600,0.7053
